id,title,key
1,全季酒店厦门机场成功大道店,成功 大道 干净 酒店 服务 机场 房间 不错 环境 点评
2,厦门中山印象酒店,比较 酒店 地理位置 特别 位置 方便 不错 优势 前台 印象
3,厦门五缘湾凯悦酒店,缘湾 酒店 服务 不错 环境 房间 点评 方便 设施 位置
4,厦门圣希罗酒店,不错 服务 酒店 环境 房间 早餐 点评 干净 交通 感觉
5,厦门宾馆,服务 不错 环境 酒店 早餐 宾馆 房间 方便 位置 干净
6,厦门毕思特酒店,不错 酒店 房间 环境 方便 位置 服务 早餐 地理位置 点评
7,厦门永丽达花园酒店,不错 酒店 早餐 花园酒店 环境 房间 服务 干净 位置 方便
8,厦门泰谷酒店,不错 酒店 环境 服务 房间 点评 位置 方便 干净 地理位置
9,厦门海悦山庄酒店,酒店 环境 服务 不错 泳池 点评 房间 设施 度假 早餐
10,厦门漫城花海客栈,老板 不错 房间 客栈 环境 干净 服务 热情 风格 方便
11,厦门瑞颐大酒店,不错 环境 大酒店 酒店 服务 房间 点评 海景房 海景 位置
12,厦门第一港海边度假庄园,环境 服务 不错 老板 客栈 房间 干净 热情 酒店 特别
13,厦门翔鹭国际大酒店,不错 环境 酒店 国际 大酒店 房间 服务 很大 点评 干净
14,厦门金后酒店,不错 酒店 位置 方便 房间 环境 交通 地理位置 早餐 服务
15,厦门鼓浪屿国王盒子度假屋,不错 国王 盒子 环境 房间 码头 服务 位置 丘田 干净
16,厦门鼓浪屿漫漫悠悠旅馆,环境 不错 漫漫 旅馆 房间 服务 老板 干净 鼓浪屿 早餐
17,厦门鼓浪屿茶语时光钢琴旅馆,环境 不错 茶语 时光 钢琴 房间 旅馆 码头 服务 鼓浪屿
18,速8酒店厦门思明南路厦大店,不错 环境 酒店 思明 干净 方便 房间 服务 位置 交通
